id,title,source,url,type,tags,notes
1,Rag Pipeline Design — OpenAI Blog insight 001,OpenAI Blog,https://openai.com/blog/rag-pipeline-design-001,article,"ai-product,rag-pipeline-design",自动生成线索，待人工核验与筛选。
2,Retrieval Evaluation — OpenAI Docs insight 002,OpenAI Docs,https://platform.openai.com/docs/retrieval-evaluation-002,docs,"ai-product,retrieval-evaluation",自动生成线索，待人工核验与筛选。
3,Chunking Strategies — Anthropic Newsroom insight 003,Anthropic Newsroom,https://www.anthropic.com/news/chunking-strategies-003,article,"ai-product,chunking-strategies",自动生成线索，待人工核验与筛选。
4,Vector Database Tuning — Google Research Blog insight 004,Google Research Blog,https://research.google/blog/vector-database-tuning-004,article,"ai-product,vector-database-tuning",自动生成线索，待人工核验与筛选。
5,Prompt Engineering — DeepMind Blog insight 005,DeepMind Blog,https://deepmind.google/discover/blog/prompt-engineering-005,article,"ai-product,prompt-engineering",自动生成线索，待人工核验与筛选。
6,Structured Output — Meta AI Blog insight 006,Meta AI Blog,https://ai.meta.com/blog/structured-output-006,article,"ai-product,structured-output",自动生成线索，待人工核验与筛选。
7,Tool Use Agents — Microsoft Research insight 007,Microsoft Research,https://www.microsoft.com/en-us/research/publication/tool-use-agents-007,paper,"ai-product,tool-use-agents",自动生成线索，待人工核验与筛选。
8,Multi-Agent Orchestration — Azure AI Blog insight 008,Azure AI Blog,https://azure.microsoft.com/en-us/blog/topics/ai-machine-learning/multi-agent-orchestration-008,article,"ai-product,multi-agent-orchestration",自动生成线索，待人工核验与筛选。
9,Guardrails And Safety — AWS ML Blog insight 009,AWS ML Blog,https://aws.amazon.com/blogs/machine-learning/guardrails-and-safety-009,article,"ai-product,guardrails-and-safety",自动生成线索，待人工核验与筛选。
10,Prompt Injection Defense — Hugging Face Blog insight 010,Hugging Face Blog,https://huggingface.co/blog/prompt-injection-defense-010,article,"ai-product,prompt-injection-defense",自动生成线索，待人工核验与筛选。
11,Hallucination Mitigation — Hugging Face Course insight 011,Hugging Face Course,https://huggingface.co/learn/hallucination-mitigation-011,course,"ai-product,hallucination-mitigation",自动生成线索，待人工核验与筛选。
12,Context Caching — NVIDIA Developer Blog insight 012,NVIDIA Developer Blog,https://developer.nvidia.com/blog/context-caching-012,article,"ai-product,context-caching",自动生成线索，待人工核验与筛选。
13,Token Efficiency — MLOps Community insight 013,MLOps Community,https://mlops.community/token-efficiency-013,community,"ai-product,token-efficiency",自动生成线索，待人工核验与筛选。
14,Cost Optimization — Weights & Biases Reports insight 014,Weights & Biases Reports,https://wandb.ai/cost-optimization-014,case-study,"ai-product,cost-optimization",自动生成线索，待人工核验与筛选。
15,Latency Reduction — Papers with Code insight 015,Papers with Code,https://paperswithcode.com/latency-reduction-015,paper,"ai-product,latency-reduction",自动生成线索，待人工核验与筛选。
16,Evaluation Harness — ArXiv insight 016,ArXiv,https://arxiv.org/evaluation-harness-016,paper,"ai-product,evaluation-harness",自动生成线索，待人工核验与筛选。
17,Human-In-The-Loop — ACM Digital Library insight 017,ACM Digital Library,https://dl.acm.org/human-in-the-loop-017,paper,"ai-product,human-in-the-loop",自动生成线索，待人工核验与筛选。
18,A/B Testing — IEEE Xplore insight 018,IEEE Xplore,https://ieeexplore.ieee.org/a-b-testing-018,paper,"ai-product,a-b-testing",自动生成线索，待人工核验与筛选。
19,Product Analytics — Stanford HAI insight 019,Stanford HAI,https://hai.stanford.edu/news/product-analytics-019,article,"ai-product,product-analytics",自动生成线索，待人工核验与筛选。
20,Observability For Llm — Berkeley BAIR Blog insight 020,Berkeley BAIR Blog,https://bair.berkeley.edu/blog/observability-for-llm-020,article,"ai-product,observability-for-llm",自动生成线索，待人工核验与筛选。
21,Data Labeling — OpenAI Blog insight 021,OpenAI Blog,https://openai.com/blog/data-labeling-021,article,"ai-product,data-labeling",自动生成线索，待人工核验与筛选。
22,Data Governance — OpenAI Docs insight 022,OpenAI Docs,https://platform.openai.com/docs/data-governance-022,docs,"ai-product,data-governance",自动生成线索，待人工核验与筛选。
23,Pretraining Corpora — Anthropic Newsroom insight 023,Anthropic Newsroom,https://www.anthropic.com/news/pretraining-corpora-023,article,"ai-product,pretraining-corpora",自动生成线索，待人工核验与筛选。
24,Post-Training Alignment — Google Research Blog insight 024,Google Research Blog,https://research.google/blog/post-training-alignment-024,article,"ai-product,post-training-alignment",自动生成线索，待人工核验与筛选。
25,Rlhf Practical — DeepMind Blog insight 025,DeepMind Blog,https://deepmind.google/discover/blog/rlhf-practical-025,article,"ai-product,rlhf-practical",自动生成线索，待人工核验与筛选。
26,Offline Reinforcement — Meta AI Blog insight 026,Meta AI Blog,https://ai.meta.com/blog/offline-reinforcement-026,article,"ai-product,offline-reinforcement",自动生成线索，待人工核验与筛选。
27,Reward Modeling — Microsoft Research insight 027,Microsoft Research,https://www.microsoft.com/en-us/research/publication/reward-modeling-027,paper,"ai-product,reward-modeling",自动生成线索，待人工核验与筛选。
28,System Prompt Design — Azure AI Blog insight 028,Azure AI Blog,https://azure.microsoft.com/en-us/blog/topics/ai-machine-learning/system-prompt-design-028,article,"ai-product,system-prompt-design",自动生成线索，待人工核验与筛选。
29,Safety Red-Teaming — AWS ML Blog insight 029,AWS ML Blog,https://aws.amazon.com/blogs/machine-learning/safety-red-teaming-029,article,"ai-product,safety-red-teaming",自动生成线索，待人工核验与筛选。
30,Content Moderation — Hugging Face Blog insight 030,Hugging Face Blog,https://huggingface.co/blog/content-moderation-030,article,"ai-product,content-moderation",自动生成线索，待人工核验与筛选。
31,Hallucination Detection — Hugging Face Course insight 031,Hugging Face Course,https://huggingface.co/learn/hallucination-detection-031,course,"ai-product,hallucination-detection",自动生成线索，待人工核验与筛选。
32,Self-Correction — NVIDIA Developer Blog insight 032,NVIDIA Developer Blog,https://developer.nvidia.com/blog/self-correction-032,article,"ai-product,self-correction",自动生成线索，待人工核验与筛选。
33,Retrieval Re-Ranking — MLOps Community insight 033,MLOps Community,https://mlops.community/retrieval-re-ranking-033,community,"ai-product,retrieval-re-ranking",自动生成线索，待人工核验与筛选。
34,Hybrid Search — Weights & Biases Reports insight 034,Weights & Biases Reports,https://wandb.ai/hybrid-search-034,case-study,"ai-product,hybrid-search",自动生成线索，待人工核验与筛选。
35,Knowledge Distillation — Papers with Code insight 035,Papers with Code,https://paperswithcode.com/knowledge-distillation-035,paper,"ai-product,knowledge-distillation",自动生成线索，待人工核验与筛选。
36,Model Compression — ArXiv insight 036,ArXiv,https://arxiv.org/model-compression-036,paper,"ai-product,model-compression",自动生成线索，待人工核验与筛选。
37,Quantization — ACM Digital Library insight 037,ACM Digital Library,https://dl.acm.org/quantization-037,paper,"ai-product,quantization",自动生成线索，待人工核验与筛选。
38,Lora Fine-Tuning — IEEE Xplore insight 038,IEEE Xplore,https://ieeexplore.ieee.org/lora-fine-tuning-038,paper,"ai-product,lora-fine-tuning",自动生成线索，待人工核验与筛选。
39,Parameter-Efficient Tuning — Stanford HAI insight 039,Stanford HAI,https://hai.stanford.edu/news/parameter-efficient-tuning-039,article,"ai-product,parameter-efficient-tuning",自动生成线索，待人工核验与筛选。
40,Inference Optimization — Berkeley BAIR Blog insight 040,Berkeley BAIR Blog,https://bair.berkeley.edu/blog/inference-optimization-040,article,"ai-product,inference-optimization",自动生成线索，待人工核验与筛选。
41,Gpu Scheduling — OpenAI Blog insight 041,OpenAI Blog,https://openai.com/blog/gpu-scheduling-041,article,"ai-product,gpu-scheduling",自动生成线索，待人工核验与筛选。
42,Multimodal Interfaces — OpenAI Docs insight 042,OpenAI Docs,https://platform.openai.com/docs/multimodal-interfaces-042,docs,"ai-product,multimodal-interfaces",自动生成线索，待人工核验与筛选。
43,Voice Assistants — Anthropic Newsroom insight 043,Anthropic Newsroom,https://www.anthropic.com/news/voice-assistants-043,article,"ai-product,voice-assistants",自动生成线索，待人工核验与筛选。
44,Document Qa — Google Research Blog insight 044,Google Research Blog,https://research.google/blog/document-qa-044,article,"ai-product,document-qa",自动生成线索，待人工核验与筛选。
45,Customer Support Bots — DeepMind Blog insight 045,DeepMind Blog,https://deepmind.google/discover/blog/customer-support-bots-045,article,"ai-product,customer-support-bots",自动生成线索，待人工核验与筛选。
46,Coding Assistants — Meta AI Blog insight 046,Meta AI Blog,https://ai.meta.com/blog/coding-assistants-046,article,"ai-product,coding-assistants",自动生成线索，待人工核验与筛选。
47,Productivity Copilots — Microsoft Research insight 047,Microsoft Research,https://www.microsoft.com/en-us/research/publication/productivity-copilots-047,paper,"ai-product,productivity-copilots",自动生成线索，待人工核验与筛选。
48,Workflow Automation — Azure AI Blog insight 048,Azure AI Blog,https://azure.microsoft.com/en-us/blog/topics/ai-machine-learning/workflow-automation-048,article,"ai-product,workflow-automation",自动生成线索，待人工核验与筛选。
49,Dataset Versioning — AWS ML Blog insight 049,AWS ML Blog,https://aws.amazon.com/blogs/machine-learning/dataset-versioning-049,article,"ai-product,dataset-versioning",自动生成线索，待人工核验与筛选。
50,Data Quality Checks — Hugging Face Blog insight 050,Hugging Face Blog,https://huggingface.co/blog/data-quality-checks-050,article,"ai-product,data-quality-checks",自动生成线索，待人工核验与筛选。
51,Ci/Cd For Models — Hugging Face Course insight 051,Hugging Face Course,https://huggingface.co/learn/ci-cd-for-models-051,course,"ai-product,ci-cd-for-models",自动生成线索，待人工核验与筛选。
52,Model Registry — NVIDIA Developer Blog insight 052,NVIDIA Developer Blog,https://developer.nvidia.com/blog/model-registry-052,article,"ai-product,model-registry",自动生成线索，待人工核验与筛选。
53,Canary Release — MLOps Community insight 053,MLOps Community,https://mlops.community/canary-release-053,community,"ai-product,canary-release",自动生成线索，待人工核验与筛选。
54,Rollback Strategy — Weights & Biases Reports insight 054,Weights & Biases Reports,https://wandb.ai/rollback-strategy-054,case-study,"ai-product,rollback-strategy",自动生成线索，待人工核验与筛选。
55,Shadow Deployment — Papers with Code insight 055,Papers with Code,https://paperswithcode.com/shadow-deployment-055,paper,"ai-product,shadow-deployment",自动生成线索，待人工核验与筛选。
56,Red/Black Deployment — ArXiv insight 056,ArXiv,https://arxiv.org/red-black-deployment-056,paper,"ai-product,red-black-deployment",自动生成线索，待人工核验与筛选。
57,Feature Flags — ACM Digital Library insight 057,ACM Digital Library,https://dl.acm.org/feature-flags-057,paper,"ai-product,feature-flags",自动生成线索，待人工核验与筛选。
58,Monitoring Dashboards — IEEE Xplore insight 058,IEEE Xplore,https://ieeexplore.ieee.org/monitoring-dashboards-058,paper,"ai-product,monitoring-dashboards",自动生成线索，待人工核验与筛选。
59,Trace Collection — Stanford HAI insight 059,Stanford HAI,https://hai.stanford.edu/news/trace-collection-059,article,"ai-product,trace-collection",自动生成线索，待人工核验与筛选。
60,Prompt Templates — Berkeley BAIR Blog insight 060,Berkeley BAIR Blog,https://bair.berkeley.edu/blog/prompt-templates-060,article,"ai-product,prompt-templates",自动生成线索，待人工核验与筛选。
61,Reusable Playbooks — OpenAI Blog insight 061,OpenAI Blog,https://openai.com/blog/reusable-playbooks-061,article,"ai-product,reusable-playbooks",自动生成线索，待人工核验与筛选。
62,Governance Policy — OpenAI Docs insight 062,OpenAI Docs,https://platform.openai.com/docs/governance-policy-062,docs,"ai-product,governance-policy",自动生成线索，待人工核验与筛选。
63,Privacy Preservation — Anthropic Newsroom insight 063,Anthropic Newsroom,https://www.anthropic.com/news/privacy-preservation-063,article,"ai-product,privacy-preservation",自动生成线索，待人工核验与筛选。
64,Pii Scrubbing — Google Research Blog insight 064,Google Research Blog,https://research.google/blog/pii-scrubbing-064,article,"ai-product,pii-scrubbing",自动生成线索，待人工核验与筛选。
65,Secure Prompt Handling — DeepMind Blog insight 065,DeepMind Blog,https://deepmind.google/discover/blog/secure-prompt-handling-065,article,"ai-product,secure-prompt-handling",自动生成线索，待人工核验与筛选。
66,Rbac For Ai Systems — Meta AI Blog insight 066,Meta AI Blog,https://ai.meta.com/blog/rbac-for-ai-systems-066,article,"ai-product,rbac-for-ai-systems",自动生成线索，待人工核验与筛选。
67,Threat Modeling — Microsoft Research insight 067,Microsoft Research,https://www.microsoft.com/en-us/research/publication/threat-modeling-067,paper,"ai-product,threat-modeling",自动生成线索，待人工核验与筛选。
68,Audit Logging — Azure AI Blog insight 068,Azure AI Blog,https://azure.microsoft.com/en-us/blog/topics/ai-machine-learning/audit-logging-068,article,"ai-product,audit-logging",自动生成线索，待人工核验与筛选。
69,Incident Response — AWS ML Blog insight 069,AWS ML Blog,https://aws.amazon.com/blogs/machine-learning/incident-response-069,article,"ai-product,incident-response",自动生成线索，待人工核验与筛选。
70,Postmortem Writing — Hugging Face Blog insight 070,Hugging Face Blog,https://huggingface.co/blog/postmortem-writing-070,article,"ai-product,postmortem-writing",自动生成线索，待人工核验与筛选。
71,Sla/Slo For Ai — Hugging Face Course insight 071,Hugging Face Course,https://huggingface.co/learn/sla-slo-for-ai-071,course,"ai-product,sla-slo-for-ai",自动生成线索，待人工核验与筛选。
72,Fairness Evaluation — NVIDIA Developer Blog insight 072,NVIDIA Developer Blog,https://developer.nvidia.com/blog/fairness-evaluation-072,article,"ai-product,fairness-evaluation",自动生成线索，待人工核验与筛选。
73,Bias Mitigation — MLOps Community insight 073,MLOps Community,https://mlops.community/bias-mitigation-073,community,"ai-product,bias-mitigation",自动生成线索，待人工核验与筛选。
74,Evaluating Toxicity — Weights & Biases Reports insight 074,Weights & Biases Reports,https://wandb.ai/evaluating-toxicity-074,case-study,"ai-product,evaluating-toxicity",自动生成线索，待人工核验与筛选。
75,Prompt Library Management — Papers with Code insight 075,Papers with Code,https://paperswithcode.com/prompt-library-management-075,paper,"ai-product,prompt-library-management",自动生成线索，待人工核验与筛选。
76,Agent Benchmark — ArXiv insight 076,ArXiv,https://arxiv.org/agent-benchmark-076,paper,"ai-product,agent-benchmark",自动生成线索，待人工核验与筛选。
77,Evaluation Datasets — ACM Digital Library insight 077,ACM Digital Library,https://dl.acm.org/evaluation-datasets-077,paper,"ai-product,evaluation-datasets",自动生成线索，待人工核验与筛选。
78,Leaderboard Tracking — IEEE Xplore insight 078,IEEE Xplore,https://ieeexplore.ieee.org/leaderboard-tracking-078,paper,"ai-product,leaderboard-tracking",自动生成线索，待人工核验与筛选。
79,Trace-Based Eval — Stanford HAI insight 079,Stanford HAI,https://hai.stanford.edu/news/trace-based-eval-079,article,"ai-product,trace-based-eval",自动生成线索，待人工核验与筛选。
80,Reinforcement From Evaluation — Berkeley BAIR Blog insight 080,Berkeley BAIR Blog,https://bair.berkeley.edu/blog/reinforcement-from-evaluation-080,article,"ai-product,reinforcement-from-evaluation",自动生成线索，待人工核验与筛选。
81,Retrieval Augmentation For Code — OpenAI Blog insight 081,OpenAI Blog,https://openai.com/blog/retrieval-augmentation-for-code-081,article,"ai-product,retrieval-augmentation-for-code",自动生成线索，待人工核验与筛选。
82,Knowledge Base Ingestion — OpenAI Docs insight 082,OpenAI Docs,https://platform.openai.com/docs/knowledge-base-ingestion-082,docs,"ai-product,knowledge-base-ingestion",自动生成线索，待人工核验与筛选。
83,Semantic Caching — Anthropic Newsroom insight 083,Anthropic Newsroom,https://www.anthropic.com/news/semantic-caching-083,article,"ai-product,semantic-caching",自动生成线索，待人工核验与筛选。
84,Function Calling — Google Research Blog insight 084,Google Research Blog,https://research.google/blog/function-calling-084,article,"ai-product,function-calling",自动生成线索，待人工核验与筛选。
85,Api Gateway Design — DeepMind Blog insight 085,DeepMind Blog,https://deepmind.google/discover/blog/api-gateway-design-085,article,"ai-product,api-gateway-design",自动生成线索，待人工核验与筛选。
86,Rate Limiting — Meta AI Blog insight 086,Meta AI Blog,https://ai.meta.com/blog/rate-limiting-086,article,"ai-product,rate-limiting",自动生成线索，待人工核验与筛选。
87,Cost Guardrails — Microsoft Research insight 087,Microsoft Research,https://www.microsoft.com/en-us/research/publication/cost-guardrails-087,paper,"ai-product,cost-guardrails",自动生成线索，待人工核验与筛选。
88,Per-Tenant Isolation — Azure AI Blog insight 088,Azure AI Blog,https://azure.microsoft.com/en-us/blog/topics/ai-machine-learning/per-tenant-isolation-088,article,"ai-product,per-tenant-isolation",自动生成线索，待人工核验与筛选。
89,Access Control — AWS ML Blog insight 089,AWS ML Blog,https://aws.amazon.com/blogs/machine-learning/access-control-089,article,"ai-product,access-control",自动生成线索，待人工核验与筛选。
90,Secrets Management — Hugging Face Blog insight 090,Hugging Face Blog,https://huggingface.co/blog/secrets-management-090,article,"ai-product,secrets-management",自动生成线索，待人工核验与筛选。
91,Audit Compliance — Hugging Face Course insight 091,Hugging Face Course,https://huggingface.co/learn/audit-compliance-091,course,"ai-product,audit-compliance",自动生成线索，待人工核验与筛选。
92,Model Observability — NVIDIA Developer Blog insight 092,NVIDIA Developer Blog,https://developer.nvidia.com/blog/model-observability-092,article,"ai-product,model-observability",自动生成线索，待人工核验与筛选。
93,Model Explainability — MLOps Community insight 093,MLOps Community,https://mlops.community/model-explainability-093,community,"ai-product,model-explainability",自动生成线索，待人工核验与筛选。
94,Counterfactual Evaluation — Weights & Biases Reports insight 094,Weights & Biases Reports,https://wandb.ai/counterfactual-evaluation-094,case-study,"ai-product,counterfactual-evaluation",自动生成线索，待人工核验与筛选。
95,Sensitivity Analysis — Papers with Code insight 095,Papers with Code,https://paperswithcode.com/sensitivity-analysis-095,paper,"ai-product,sensitivity-analysis",自动生成线索，待人工核验与筛选。
96,Safety Policy Rollout — ArXiv insight 096,ArXiv,https://arxiv.org/safety-policy-rollout-096,paper,"ai-product,safety-policy-rollout",自动生成线索，待人工核验与筛选。
97,Governance Committee — ACM Digital Library insight 097,ACM Digital Library,https://dl.acm.org/governance-committee-097,paper,"ai-product,governance-committee",自动生成线索，待人工核验与筛选。
98,Ai Product Metrics — IEEE Xplore insight 098,IEEE Xplore,https://ieeexplore.ieee.org/ai-product-metrics-098,paper,"ai-product,ai-product-metrics",自动生成线索，待人工核验与筛选。
99,User Feedback Loops — Stanford HAI insight 099,Stanford HAI,https://hai.stanford.edu/news/user-feedback-loops-099,article,"ai-product,user-feedback-loops",自动生成线索，待人工核验与筛选。
100,Labeling Tooling — Berkeley BAIR Blog insight 100,Berkeley BAIR Blog,https://bair.berkeley.edu/blog/labeling-tooling-100,article,"ai-product,labeling-tooling",自动生成线索，待人工核验与筛选。
